package,path,dep,version,type
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,@auth/core,latest,dep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@aws-sdk/client-s3,latest,dep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@aws-sdk/s3-presigned-post,latest,dep
hotmess,apps/hotmess-repo/package.json,@prisma/client,^5.18.0,dep
hotmess,apps/hotmess-repo-enterprise/package.json,@prisma/client,^5.18.0,dep
hotmess,apps/hotmess-repo-final/package.json,@prisma/client,^5.18.0,dep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@prisma/client,latest,dep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,@prisma/client,latest,dep
hotmess,apps/hotmess-repo/package.json,@shopify/storefront-api-client,^1.0.0,dep
hotmess,apps/hotmess-repo-enterprise/package.json,@shopify/storefront-api-client,^1.0.0,dep
hotmess,apps/hotmess-repo-final/package.json,@shopify/storefront-api-client,^1.0.0,dep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@storybook/addon-a11y,latest,devDep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,@storybook/addon-a11y,latest,devDep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@storybook/addon-essentials,latest,devDep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,@storybook/addon-essentials,latest,devDep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@storybook/addon-interactions,latest,devDep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,@storybook/addon-interactions,latest,devDep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@storybook/addon-links,latest,devDep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,@storybook/addon-links,latest,devDep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@storybook/addon-mdx-gfm,latest,devDep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,@storybook/addon-mdx-gfm,latest,devDep
hotmess-all-in-admin,apps/hotmess-all-in-admin/package.json,@storybook/react-vite,latest,devDep
hotmess-ootb,apps/hotmess-out-of-the-box/package.json,@storybook/react-vite,latest,devDep
@hotmess/admin,apps/admin/package.json,@supabase/supabase-js,^2.44.0,dep
@hotmess/admin,packages/hotmess-ops-pack/ops_pack/apps/admin/package.json,@supabase/supabase-js,^2.44.0,dep
hotmess,apps/hotmess-repo/package.json,@supabase/supabase-js,^2.45.0,dep
hotmess,apps/hotmess-repo-enterprise/package.json,@supabase/supabase-js,^2.45.0,dep
hotmess,apps/hotmess-repo-final/package.json,@supabase/supabase-js,^2.45.0,dep
hotmess-all-in-one,apps/hotmess-dj-bios-patch/package.json,@supabase/supabase-js,2.45.4,dep
