dep,unified,seen
@prisma/client,^5.18.0,"^5.18.0, latest"
@supabase/supabase-js,^2.45.4,"2.45.4, ^2.44.0, ^2.45.0, latest"
@types/node,^20.12.7,"^20.11.0, ^20.12.7, latest"
@types/react,^18.2.66,"^18.2.66, latest"
autoprefixer,^10.4.19,"^10.4.19, latest"
eslint,^8.57.0,"^8.57.0, latest"
next,^15.0.0,"14.2.0, 15.0.0, latest"
postcss,^8.4.38,"^8.4.38, latest"
prisma,^5.18.0,"^5.18.0, latest"
react,^18.3.1,"18.2.0, 18.3.1, latest"
react-dom,^18.3.1,"18.2.0, 18.3.1, latest"
tailwindcss,^3.4.4,"^3.4.4, latest"
typescript,^5.4.0,"^5.3.3, ^5.4.0, latest"
